GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005009200,5888,16,87171.2721343362,0.0,3.4679802955665027,186.0,3.400465767776496,1.3541185594033975,0.1668701207517766,32.53094041363297,16.270087608744777,0.0,21.252011051124427,25.025506478566157,0.0,1129.17,37.5
36005009301,5754,5,98569.86529072718,0.0,3.418067226890756,447.0,2.776898984654652,4.764533893123163,7.665119825186215,28.58653347800336,15.300221531401183,0.0,8.70471729543915,32.20197499219228,0.0,980.04,31.5
36005009302,319,4,33030.909343494626,0.0,3.1477449455676516,575.0,0.0923071750704189,0.0237384828318121,8.526471714728837,22.88772467467997,4.311967315790841,0.0,0.0140964862421687,16.542990160361185,47.60070399029477,0.0,41.7
36005009600,1978,5,72767.83653478834,0.0,3.1615384615384614,327.0,7.280609560146484,2.653084929135483,9.633129896449695,34.79410868243427,14.590574118847206,0.0,4.910316407082967,20.325255638763743,5.812920767140146,907.92,43.5
36005009800,4080,4,76430.71160969725,0.0,3.5387755102040814,229.0,0.2648086156814429,0.6995031358914513,0.638465604275305,33.761722772581415,23.53603437898931,0.0,15.266695220636189,25.832770271944884,0.0,1882.62,53.8
36005011000,0,0,27170.786618811733,0.0,2.943859649122807,254.0,0.0,0.2458708921577456,0.0,9.395973848546603,61.031396958853925,0.0,0.0,8.091304824525965,21.23545347591577,0.0,0.0
36005011502,3935,2,81150.45495308058,0.0,3.3849557522123894,212.0,0.6779226142578697,1.4232336901197649,8.356127321962628,35.228752784721614,9.55427736715171,0.0,8.871999059653323,31.246781567793583,4.640905594339513,594.65,37.6
36005011701,1262,0,98238.04900705132,0.0,3.3157894736842106,174.0,1.1309757807600072,2.682363534764459,13.932241856818258,38.33771876399254,7.381100051765023,0.0,3.984599666484491,32.55100034541521,0.0,708.79,27.8
36005011702,0,3,37595.16865170884,0.0,3.0272108843537415,252.0,0.0,0.0,10.748483398380284,38.41143912948562,7.971412274862219,0.0,0.0,15.373091337882352,27.495573859389538,0.0,0.0
36005011800,5057,14,10630.70209473755,0.0,2.7813504823151125,243.0,0.0078152689353449,1.472323283452072,0.0,9.067631776077176,9.97446153622527,0.0,1.8983153583138244,4.440397289310943,73.13905548768537,1794.6,28.5
36005011900,5879,10,67326.7178616299,0.0,3.2735849056603774,94.0,4.102550112922466,3.710245341725225,0.0,29.25407527965297,23.145271041086012,0.0,25.075334717174165,14.712523507439146,0.0,848.5,27.7
36005012101,3293,4,68832.39637882271,0.0,3.528735632183908,83.0,2.0004605967992655,2.103186037364684,0.1835440148431104,35.54173642398476,12.494448577420997,0.0,23.05723051531767,24.619393834269523,0.0,662.77,36.3
36005012102,1429,2,86671.79604786875,0.0,3.8125,48.0,6.561778310736677,0.1745365605125355,4.738103526369957,21.80490597346476,18.04621062252425,0.0,24.14524178113948,24.529223225252345,0.0,542.31,42.3
36005012300,4712,16,66621.61702244403,0.0,3.217948717948718,136.0,0.4986944995630513,2.5279944714547313,1.005446513720378,26.82177448076931,18.535766428270723,0.0,8.375100039876836,33.53010025641066,8.705123309934306,700.67,32.2
36005012500,4001,11,54074.84555171916,0.0,3.3333333333333335,56.0,1.6514158904344491,1.7605268600728905,0.4855968870763459,32.83284411305088,19.23705853272448,0.0,22.882167942040663,21.150389774600292,0.0,1072.54,29.7
36005012701,2129,9,84733.36320073114,0.0,3.642857142857143,79.0,1.863371679014605,8.031516698582816,0.0,30.962678974423454,19.185140710831973,0.0,17.398972778813246,22.5583191583339,0.0,667.08,33.6
36005012901,4944,11,19128.111299398923,0.0,2.730769230769231,19.0,4.616039012149119,6.503744687233682,0.0905881312525584,31.14843280934076,16.561725017328758,0.0,18.952577056266517,22.126893286428604,0.0,757.87,32.6
36005013000,1388,2,22661.04821840982,0.0,3.5,12.0,1.1591330072792754,0.244179196081136,0.0,31.960456437064025,26.688439087898196,0.0,19.069246135366935,20.87854613631044,0.0,1146.06,46.2
36005013100,5288,3,57956.74606856844,0.0,2.9166666666666665,122.0,1.7509543496429578,5.772815660939599,1.2146170774280012,35.09468381095036,19.779391623778857,0.0,16.232564041762384,20.154973435497848,0.0,380.0,38.3
